year,oil
1946,20.12
1947,23.65
1948,28.21
1949,28.48
1950,28.19
1951,26.12
1952,25.54
1953,26.66
1954,27.26
1955,26.74
1956,26.50
1957,27.34
1958,25.45
1959,25.19
1960,24.11
1961,23.34
1962,23.06
1963,23.28
1964,23.68
1965,23.37
1966,23.38
1967,22.90
1968,22.35
1969,22.16
1970,21.38
1971,21.77
1972,21.08
1973,25.97
1974,46.35
1975,55.51
1976,56.36
1977,58.13
1978,56.14
1979,83.86
1980,111.30
1981,96.38
1982,80.80
1983,71.49
1984,67.76
1985,61.26
1986,32.24
1987,38.24
1988,30.82
1989,36.18
1990,43.32
1991,36.31
1992,33.58
1993,28.39
1994,25.86
1995,26.91
1996,31.91
1997,28.43
1998,17.89
1999,24.28
2000,38.92
2001,31.81
2002,31.02
2003,36.85
2004,48.77
2005,62.66
2006,70.77
2007,75.66
2008,103.67
2009,60.91
2010,79.93
2011,94.73
2012,92.20
2013,95.79
2014,88.47
2015,43.22
2016,37.02
2017,54.25
2018,71.99
